EVAS ;Beschreibung
1;Gebiet, Bevölkerung, Erwerbstätigkeit, Wahlen
2;Bildung, Sozialleistungen, Gesundheit, Rechtspflege
3;Wohnen, Umwelt
4;Wirtschaftsbereiche
5;Außenhandel, Unternehmen, Handwerk
6;Preise, Verdienste, Einkommen und Verbrauch
7;Öffentliche Finanzen, Steuern und Personal im öffentlichen Dienst
8;Gesamtrechnungen
9;Sonderbereich - interne Zwecke
9;Sonderbereiche
10;Sonderbereich - Leitmaterialien
11;Gebiet
12;Bevölkerung
13;Erwerbstätigkeit
14;Wahlen
19;Andere (für Länder- oder Bundeszwecke) - Gebiet, Bevölkerung, Erwerbstätigkeit, Wahlen
21;Bildung und Kultur, Forschung und Entwicklung
22;Öffentliche Sozialleistungen
23;Gesundheitswesen
24;Rechtspflege
29;Andere (für Länder- oder Bundeszwecke) - Bildung, Sozialleistungen, Gesundheit, Rechtspflege
31;Gebäude und Wohnen
32;Umwelt
33;Flächennutzung
39;Andere (für Länder- oder Bundeszwecke) - Wohnen, Umwelt
41;Land- und Forstwirtschaft, Fischerei
42;Produzierendes Gewerbe: Bereich Verarbeitendes Gewerbe, Bergbau und Gewinnung von Steinen und Erden
43;Produzierendes Gewerbe: Bereich Energieversorgung, Wasserversorgung, Abwasser- und Abfallentsorgung, Beseitigung von Umweltverschmutzungen
44;Produzierendes Gewerbe: Bereich Baugewerbe
45;Handel (einschl. Instandhaltung und Reparatur von Kfz), Gastgewerbe, Tourismus
46;Transport und Verkehr
47;Finanz- und andere Dienstleistungen
48;Wirtschaftsbereichsübergreifende Ergebnisse
49;Andere (für Länder- oder Bundeszwecke) - Wirtschaftsbereiche
51;Außenhandel
52;Unternehmen und Arbeitsstätten
53;Handwerk und handwerksähnliches Gewerbe
59;Andere (für Länder- oder Bundeszwecke) - Außenhandel, Unternehmen, Handwerk
61;Preise
62;Verdienste, Arbeitskosten
63;Freiwillige Erhebungen zu Einkommen, Ausgaben und Lebensbedingungen privater Haushalte
69;Andere (für Länder- oder Bundeszwecke) - Preise, Verdienste, Einkommen und Verbrauch
71;Öffentliche Finanzen
72;Öffentliche Fonds, Einrichtungen und Unternehmen mit eigenem Rechnungswesen - (Stillgelegt am 01.05.2015)
73;Steuern
74;Personal im öffentlichen Dienst
75;Berichtskreismanagement (BKM)
79;Andere (für Länder- oder Bundeszwecke) - Öffentliche Finanzen, Steuern und Personal im öffentlichen Dienst
81;VGR des Bundes
82;VGR der Länder
83;Zahlungsbilanz, Auslandsvermögen
84;Geld, Zinsen, Währungen
85;UGR
86;UGR der Länder
87;Sozioökonomisches Berichtssystem
88;Gesundheitsökonomische Gesamtrechnung (GGR) der Länder
89;Andere (für Länder- oder Bundeszwecke) - Gesamtrechnungen
