Code,Content,State,Time,LatestUpdate,Information
11111BJ001,"Feststellung des Gebietsstands, Gebietsfläche, Deutschland insgesamt, Stichtag",vollständig mit Werten,31.12.1995-31.12.2021,04.09.2023 17:35:44h,false
11111KJ001,"Feststellung des Gebietsstands, Gebietsfläche, Kreise, Stichtag",vollständig mit Werten,31.12.1995-31.12.2021,04.09.2023 11:28:09h,false
11111LJ001,"Feststellung des Gebietsstands, Gebietsfläche, Bundesländer, Stichtag",vollständig mit Werten,31.12.1995-31.12.2021,04.09.2023 17:36:03h,false
12111B1001,"Zensus, Bevölkerung (Zensus), Deutschland insgesamt, Stichtag",vollständig mit Werten,09.05.2011,12.10.2017 14:40:27h,false
12111B1002,"Zensus, Bevölkerung (Zensus), Deutschland insgesamt, Nationalität, Stichtag",vollständig mit Werten,09.05.2011,10.04.2014 08:01:20h,false
12111B1003,"Zensus, Bevölkerung (Zensus), Deutschland insgesamt, Geschlecht, Stichtag",vollständig mit Werten,09.05.2011,02.03.2018 14:22:34h,false
12111B1004,"Zensus, Bevölkerung (Zensus), Deutschland insgesamt, Altersgruppen (u3-75m), Stichtag",vollständig mit Werten,09.05.2011,02.03.2018 14:18:48h,false
12111B1005,"Zensus, Bevölkerung (Zensus), Deutschland insgesamt, Altersgruppen (u18-65m), Stichtag",vollständig mit Werten,09.05.2011,10.04.2014 08:01:24h,false
12111B1006,"Zensus, Bevölkerung (Zensus), Deutschland insgesamt, Familienstand, Stichtag",vollständig mit Werten,09.05.2011,10.04.2014 08:01:26h,false
12111B1007,"Zensus, Bevölkerung (Zensus), Deutschland insgesamt, Nationalität, Geschlecht, Stichtag",vollständig mit Werten,09.05.2011,10.04.2014 08:01:28h,false
12111B1008,"Zensus, Bevölkerung (Zensus), Deutschland insgesamt, Nationalität, Altersgruppen (u3-75m), Stichtag",vollständig mit Werten,09.05.2011,10.04.2014 08:01:29h,false
12111B1009,"Zensus, Bevölkerung (Zensus), Deutschland insgesamt, Nationalität, Familienstand, Stichtag",vollständig mit Werten,09.05.2011,10.04.2014 08:01:30h,false
12111B1010,"Zensus, Bevölkerung (Zensus), Deutschland insgesamt, Geschlecht, Altersgruppen (u3-75m), Stichtag",vollständig mit Werten,09.05.2011,10.04.2014 08:01:17h,false
12111B1011,"Zensus, Bevölkerung (Zensus), Deutschland insgesamt, Geschlecht, Familienstand, Stichtag",vollständig mit Werten,09.05.2011,10.04.2014 08:00:54h,false
12111B1012,"Zensus, Bevölkerung (Zensus), Deutschland insgesamt, Altersgruppen (u18-65m), Familienstand, Stichtag",vollständig mit Werten,09.05.2011,10.04.2014 08:00:55h,false
12111L1001,"Zensus, Bevölkerung (Zensus), Bundesländer, Stichtag",vollständig mit Werten,09.05.2011,10.04.2014 08:00:57h,false
12111L1002,"Zensus, Bevölkerung (Zensus), Bundesländer, Nationalität, Stichtag",vollständig mit Werten,09.05.2011,10.04.2014 08:00:59h,false
12111L1003,"Zensus, Bevölkerung (Zensus), Bundesländer, Geschlecht, Stichtag",vollständig mit Werten,09.05.2011,10.04.2014 08:01:00h,false
12111L1004,"Zensus, Bevölkerung (Zensus), Bundesländer, Altersgruppen (u3-75m), Stichtag",vollständig mit Werten,09.05.2011,10.04.2014 08:01:02h,false
12111L1005,"Zensus, Bevölkerung (Zensus), Bundesländer, Altersgruppen (u18-65m), Stichtag",vollständig mit Werten,09.05.2011,10.04.2014 08:01:04h,false
12111L1006,"Zensus, Bevölkerung (Zensus), Bundesländer, Familienstand, Stichtag",vollständig mit Werten,09.05.2011,10.04.2014 08:01:05h,false
12111L1007,"Zensus, Bevölkerung (Zensus), Bundesländer, Nationalität, Geschlecht, Stichtag",vollständig mit Werten,09.05.2011,10.04.2014 08:01:07h,false
12111L1008,"Zensus, Bevölkerung (Zensus), Bundesländer, Nationalität, Altersgruppen (u3-75m), Stichtag",vollständig mit Werten,09.05.2011,10.04.2014 08:01:09h,false
12111L1009,"Zensus, Bevölkerung (Zensus), Bundesländer, Nationalität, Familienstand, Stichtag",vollständig mit Werten,09.05.2011,10.04.2014 08:01:10h,false
12111L1010,"Zensus, Bevölkerung (Zensus), Bundesländer, Geschlecht, Altersgruppen (u3-75m), Stichtag",vollständig mit Werten,09.05.2011,10.04.2014 08:01:12h,false
12111L1011,"Zensus, Bevölkerung (Zensus), Bundesländer, Geschlecht, Familienstand, Stichtag",vollständig mit Werten,09.05.2011,10.04.2014 08:01:16h,false
12111L1012,"Zensus, Bevölkerung (Zensus), Bundesländer, Altersgruppen (u18-65m), Familienstand, Stichtag",vollständig mit Werten,09.05.2011,10.04.2014 08:01:14h,false
12211B4001,"Mikrozensus, Bevölkerung, Deutschland insgesamt, Art des Krankenversicherungsverhältnisses, Jahr",vollständig mit Werten,2007-2019,15.09.2020 12:00:02h,false
12211B4002,"Mikrozensus, Bevölkerung, Deutschland insgesamt, Geschlecht, Art des Krankenversicherungsverhältnisses, Jahr",vollständig mit Werten,2007-2019,15.09.2020 12:00:01h,false
12211B4003,"Mikrozensus, Bevölkerung, Deutschland insgesamt, Krankenkassen, Jahr",vollständig mit Werten,2007-2019,15.09.2020 12:00:04h,false
12211B4004,"Mikrozensus, Bevölkerung, Deutschland insgesamt, Geschlecht, Krankenkassen, Jahr",vollständig mit Werten,2007-2019,15.09.2020 12:00:05h,false
12211B4005,"Mikrozensus, Durchschnittliche Körpergröße, Durchschnittliches Körpergewicht, Durchschnittlicher Body-Mass-Index, Deutschland insgesamt, Jahr",vollständig mit Werten,2005-2017,18.03.2019 12:23:44h,false
12211B4006,"Mikrozensus, Durchschnittliche Körpergröße, Durchschnittliches Körpergewicht, Durchschnittlicher Body-Mass-Index, Deutschland insgesamt, Geschlecht, Jahr",vollständig mit Werten,2005-2017,18.03.2019 12:23:44h,false
