Code,Content,Cubes,Information
11111,Feststellung des Gebietsstands,3,true
12111,Zensus,24,true
12211,Mikrozensus,483,true
12231,IKT-Nutzung in privaten Haushalten,42,true
12241,Einkommen und Lebensbedingungen (EU-SILC),7,true
12251,Arbeitsmarktstatistik des Mikrozensus,68,false
12411,Fortschreibung des Bevölkerungsstandes,28,true
12421,Bevölkerungsvorausberechnungen,16,true
12511,Einbürgerungsstatistik,70,true
12521,Ausländerstatistik,98,true
12531,Statistik über Schutzsuchende,78,true
12611,Statistik der Eheschließungen,7,true
12612,Statistik der Geburten,37,true
12613,Statistik der Sterbefälle,17,true
12621,Sterbetafeln,3,true
12631,Statistik rechtskräftiger Urteile in Ehesachen,6,true
12651,Begründung von Lebenspartnerschaften,3,true
12661,Aufhebung von Lebenspartnerschaften,4,true
12711,Wanderungsstatistik,46,true
13111,Statistik d. sozialversicherungspfl. Beschäftigten,13,true
13211,Arbeitsmarktstatistik der Bundesagentur für Arbeit,16,true
13231,Erwerbslosenstatistik nach dem ILO-Konzept,4,true
13311,Länderberechnung Erwerbstätige,4,true
13321,Erwerbstätigenrechnung in der VGR (national),3,true
14111,Allgemeine Bundestagswahlstatistik,4,true
14121,Repräsentative Bundestagswahlstatistik,10,true
14211,Allgemeine Europawahlstatistik,2,true
14221,Repräsentative Europawahlstatistik,4,true
21111,Statistik der allgemeinbildenden Schulen,96,true
21121,Statistik der beruflichen Schulen,36,true
21211,Berufsbildungsstatistik,48,true
21231,Erhebung n. §17 BerufsqualifikationsfeststellungsG,6,true
21241,Pflegeausbildungsstatistik,18,true
21311,Statistik der Studenten,48,true
21321,Statistik der Prüfungen,5,true
21331,Statistik der Gasthörer,2,true
21341,Statistik des Hochschulpersonals,3,true
21351,Statistik der Habilitationen,6,true
21352,Statistik der Promovierenden,28,true
21353,Statistik der Hochschulräte,2,true
21354,Statistik der Berufsakademien,10,true
21371,Hochschulfinanzstatistik,8,true
21381,Hochschulstatistische Kennzahlen,11,false
21411,Statistik der Bundesausbildungsförderung (BAföG),4,true
21421,Statistik der Aufstiegsfortbildungsförderung,30,true
21431,Förderung nach dem Stipendienprogramm-Gesetz,37,true
21521,Europ. Erheb. über betriebl. Weiterbildung (CVTS),15,true
21611,Kulturstatistik,24,true
21621,Berichterstattung über öffentliche Kulturausgaben,6,true
21711,Bildungsberichterstattung für nationale Zwecke,13,false
21721,Bildungsberichterstattung f. internationale Zwecke,3,true
21811,"Ausgaben, Einnahmen, Personal öff. Forschungseinr.",47,true
21821,Berichterstattung über Forschung und Entwicklung,5,false
22111,Statistik d. Ausgaben u. Einnahmen der Sozialhilfe,36,true
22121,Statistik d. Empfänger v. Hilfe z. Lebensunterhalt,26,true
22125,Empf. v.Lstg. für Bildung u.Teilhabe (3.K.SGB XII),6,true
22131,Statistik d. Empfänger v. Leist.(5.-9.Kap.SGB XII),20,true
22151,Grundsicherung im Alter und bei Erwerbsminderung,98,true
22161,Statistik der Empf. v.Eingliederungshilfe (SGB IX),24,true
22162,Stat.d.Ausg.u.Einn.d.Eingliederungshilfe (SGB IX),3,true
22211,Ausgaben und Einnahmen für Asylbewerberleistungen,12,true
22221,Statistik der Empfänger von Asylbewerberleistungen,91,true
22231,Stat.d. Empfänger von besonderen Asylbewerberlstg.,6,true
22251,Empfänger v.Lstg. f. Bildung u. Teilhabe (AsylbLG),7,true
22311,Wohngeld zum 31.12.,23,true
22411,Statistik über ambulante Pflegeeinrichtungen,21,true
22412,Statistik über stationäre Pflegeeinrichtungen,23,true
22421,Statistik über d. Empfänger v.Pflegegeldleistungen,19,true
22512,Statistik der Betreuung einzelner junger Menschen,2,true
22517,Statistik der erzieherischen Hilfen,12,true
22518,Stat. ü. d. Schutzauftrag bei Kindeswohlgefährdung,26,true
22521,Statistik der Adoptionen,22,true
22522,"Statistik der Pflegeerlaubnis, Vormundschaften etc",13,true
22523,Statistik der vorläufigen Schutzmaßnahmen,31,true
22531,Statistik der Angebote der Jugendarbeit,6,true
22541,Kinder und tätige Personen in Tageseinrichtungen,67,true
22542,Statistik der Einricht. der Kinder- u. Jugendhilfe,4,true
22543,Kinder und tätige Personen in Kindertagespflege,29,true
22545,Pers. in Großtagespflegestellen u. betreute Kinder,6,true
22551,Ausgaben und Einnahmen der Kinder- und Jugendhilfe,20,true
22611,Statistik der gesetzlichen Rentenversicherung,3,true
22621,Statistik der gesetzlichen Krankenversicherung,2,true
22631,Statistik der gesetzlichen Unfallversicherung,2,true
22711,Statistik der schwerbehinderten Menschen,3,true
22731,Statistik der Kriegsopferfürsorge,2,true
22911,Statistik über Kindergeld,2,true
22922,Statistik zum Elterngeld,98,true
22923,Statistik zum Betreuungsgeld,3,true
22971,Statistik untergebrachter wohnungsloser Personen,107,true
23111,Grunddaten der Krankenhäuser,2,true
23112,Grunddaten der Vorsorge- oder Rehabilitationseinr.,2,true
23121,Kostennachweis der Krankenhäuser,2,true
23131,Diagnosen der Krankenhauspatienten,70,true
23132,Diagnosen der Vorsorge- oder Reha.einr.patienten,28,true
23141,Fallpauschalenbezogene Krankenhausstatistik (DRG),88,true
23211,Todesursachenstatistik,2,true
23311,Statistik der Schwangerschaftsabbrüche,2,true
