Code,Content,Time
11111-0001,"Gebietsfläche: Bundesländer, Stichtag",31.12.1995 - 31.12.2021
11111-0002,"Gebietsfläche: Kreise, Stichtag",31.12.1995 - 31.12.2021
12111-0001,"Bevölkerung (Zensus): Deutschland, Stichtag, Nationalität,
Geschlecht",
12111-0002,"Bevölkerung (Zensus): Deutschland, Stichtag, Nationalität,
Altersgruppen",
12111-0003,"Bevölkerung (Zensus): Deutschland, Stichtag, Nationalität,
Familienstand",
12111-0004,"Bevölkerung (Zensus): Deutschland, Stichtag, Geschlecht,
Altersgruppen",
12111-0005,"Bevölkerung (Zensus): Deutschland, Stichtag, Geschlecht,
Familienstand",
12111-0006,"Bevölkerung (Zensus): Deutschland, Stichtag, Familienstand,
Altersgruppen",
12111-0101,"Bevölkerung (Zensus): Bundesländer, Stichtag, Nationalität,
Geschlecht",
12111-0102,"Bevölkerung (Zensus): Bundesländer, Stichtag, Nationalität,
Altersgruppen",
12111-0103,"Bevölkerung (Zensus): Bundesländer, Stichtag, Nationalität,
Familienstand",
12111-0104,"Bevölkerung (Zensus): Bundesländer, Stichtag, Geschlecht,
Altersgruppen",
12111-0105,"Bevölkerung (Zensus): Bundesländer, Stichtag, Geschlecht,
Familienstand",
12111-0106,"Bevölkerung (Zensus): Bundesländer, Stichtag, Familienstand,
Altersgruppen",
12211-0001,"Bevölkerung, Erwerbstätige, Erwerbslose, Erwerbspersonen, Nichterwerbspersonen aus Hauptwohnsitzhaushalten: Deutschland, Jahre, Geschlecht, Altersgruppen",2020 - 2022
12211-0002,"Bevölkerung, Erwerbstätige, Erwerbslose, Erwerbspersonen, Nichterwerbspersonen aus Hauptwohnsitzhaushalten: Deutschland, Jahre, Überwiegender Lebensunterhalt, Altersgruppen",2020 - 2022
12211-0003,"Bevölkerung, Erwerbstätige, Erwerbslose, Erwerbspersonen,
Nichterwerbspersonen aus Hauptwohnsitzhaush.: Deutschland,
Jahre, Geschlecht, Größenkl. persönl. monatl. Nettoeinkommen",2020 - 2022
12211-0004,"Erwerbstätige aus Hauptwohnsitzhaushalten: Deutschland,
Jahre, Geschlecht, Altersgruppen, Stellung im Beruf",2020 - 2022
12211-0005,"Erwerbstätige aus Hauptwohnsitzhaushalten: Deutschland,
Jahre, Geschlecht, Stellung im Beruf, Art der geleisteten
Arbeitsstunden, Größenkl. d.geleisteten Arbeitsstd. je Woche",2020 - 2022
12211-0006,"Geleistete Arbeitsstunden je Woche von Erwerbstätigen aus Hauptwohnsitzhaushalten: Deutschland, Jahre, Geschlecht, Stellung im Beruf, Art der geleisteten Arbeitsstunden",2020 - 2022
