Code,Content,Time
11111-01-01-4,"Gebietsfläche in qkm - Stichtag 31.12. -
regionale Tiefe: Kreise und krfr. Städte",31.12.1995 - 31.12.2021
11111-01-01-5,"Gebietsfläche in qkm - Stichtag 31.12. -
regionale Tiefe: Gemeinden",31.12.2008 - 31.12.2021
11111-01-01-5-B,"Gebietsfläche in qkm - Stichtag 31.12. -
regionale Ebenen",31.12.2008 - 31.12.2021
11111-02-01-4,Zahl der Gemeinden - Stichtag 31.12. - regionale Tiefe: Kreise und krfr. Städte,31.12.1995 - 31.12.2021
11111-02-01-4-B,Zahl der Gemeinden - Stichtag 31.12. - regionale Ebenen,31.12.1995 - 31.12.2021
12111-01-01-4,"Bevölkerung nach Geschlecht und Nationalität
- Stichtag 09.05.2011 -
regionale Tiefe: Kreise und krfr. Städte",09.05.2011 - 09.05.2011
12111-01-01-5,"Bevölkerung nach Geschlecht und Nationalität
- Stichtag 09.05.2011 -
regionale Tiefe: Gemeinden",09.05.2011 - 09.05.2011
12111-01-01-5-B,"Bevölkerung nach Geschlecht und Nationalität
- Stichtag 09.05.2011 -
regionale Ebenen",09.05.2011 - 09.05.2011
12111-02-01-4,"Bevölkerung nach Geschlecht/Nationalität
und Altersgruppen  - Stichtag 09.05.2011 -
regionale Tiefe: Kreise und krfr. Städte",09.05.2011 - 09.05.2011
12111-02-01-5,"Bevölkerung nach Geschlecht/Nationalität
und Altersgruppen  - Stichtag 09.05.2011 -
regionale Tiefe: Gemeinden",09.05.2011 - 09.05.2011
12111-02-01-5-B,"Bevölkerung nach Geschlecht/Nationalität
und Altersgruppen  - Stichtag 09.05.2011 -
regionale Ebenen",09.05.2011 - 09.05.2011
12111-03-01-4,"Bevölkerung nach Geschlecht/Nationalität
und Altersgruppen - Stichtag 09.05.2011 -
regionale Tiefe: Kreise und krfr. Städte",09.05.2011 - 09.05.2011
12111-03-01-4-B,"Bevölkerung nach Geschlecht/Nationalität
und Altersgruppen - Stichtag 09.05.2011 -
regionale Ebenen",09.05.2011 - 09.05.2011
12111-04-01-4,"Bevölkerung nach Geschlecht
und Altersjahren - Stichtag 09.05.2011 -
regionale Tiefe: Kreise und krfr. Städte",09.05.2011 - 09.05.2011
12111-04-01-4-B,"Bevölkerung nach Geschlecht
und Altersjahren - Stichtag 09.05.2011 -
regionale Ebenen",09.05.2011 - 09.05.2011
12111-05-01-4,"Bevölkerung nach Geschlecht/Nationalität
und Familienstand  - Stichtag 09.05.2011 -
regionale Tiefe: Kreise und krfr. Städte",09.05.2011 - 09.05.2011
12111-05-01-5,"Bevölkerung nach Geschlecht/Nationalität
und Familienstand  - Stichtag 09.05.2011 -
regionale Tiefe: Gemeinden",09.05.2011 - 09.05.2011
12111-05-01-5-B,"Bevölkerung nach Geschlecht/Nationalität
und Familienstand  - Stichtag 09.05.2011 -
regionale Ebenen",09.05.2011 - 09.05.2011
12111-06-01-4,"Bevölkerung nach Geschlecht/Nationalität
und Religionszugehörigkeit  - Stichtag 09.05.2011 -
regionale Tiefe: Kreise und krfr. Städte",09.05.2011 - 09.05.2011
12111-06-01-5,"Bevölkerung nach Geschlecht/Nationalität
und Religionszugehörigkeit  - Stichtag 09.05.2011 -
regionale Tiefe: Gemeinden",09.05.2011 - 09.05.2011
12111-06-01-5-B,"Bevölkerung nach Geschlecht/Nationalität
und Religionszugehörigkeit  - Stichtag 09.05.2011 -
regionale Ebenen",09.05.2011 - 09.05.2011
12111-07-01-4,"Bevölkerung nach Nationalität,
Migrationshintergrund und Altersjahren
- 09.05.2011 - regionale Tiefe: Kreise und krfr. Städte",09.05.2011 - 09.05.2011
12111-07-01-4-B,"Bevölkerung nach Nationalität,
Migrationshintergrund und Altersjahren
- Stichtag 09.05.2011 - regionale Ebenen",09.05.2011 - 09.05.2011
12111-08-01-4,"Bevölkerung nach Geschlecht/Nationalität
und Migrationshintergrund (Aufenthaltsdauer)
- 09.05.2011 - regionale Tiefe: Kreise und krfr. Städte",09.05.2011 - 09.05.2011
12111-08-01-4-B,"Bevölkerung nach Geschlecht/Nationalität
und Migrationshintergrund (Aufenthaltsdauer)
- Stichtag 09.05.2011 -  regionale Ebenen",09.05.2011 - 09.05.2011
12111-09-01-4,"Bevölkerung nach Geschlecht/Nationalität
und höchstem Schulabschluss - Stichtag 09.05.2011 -
regionale Tiefe: Kreise und krfr. Städte",09.05.2011 - 09.05.2011
12111-09-01-4-B,"Bevölkerung nach Geschlecht/Nationalität
und höchstem Schulabschluss - Stichtag 09.05.2011 -
regionale Ebenen",09.05.2011 - 09.05.2011
12111-10-01-4,"Bevölkerung nach Geschlecht/Nationalität
und höchstem beruflichen Abschluss - Stichtag 09.05.2011 -
regionale Tiefe: Kreise und krfr. Städte",09.05.2011 - 09.05.2011
12111-10-01-4-B,"Bevölkerung nach Geschlecht/Nationalität
und höchstem beruflichen Abschluss - Stichtag 09.05.2011 -
regionale Ebenen",09.05.2011 - 09.05.2011
12111-11-01-4,"Bevölkerung nach Geschlecht/Nationalität
und Erwerbsstatus - Stichtag 09.05.2011 -
regionale Tiefe: Kreise und krfr. Städte",09.05.2011 - 09.05.2011
12111-11-01-4-B,"Bevölkerung nach Geschlecht/Nationalität
und Erwerbsstatus - Stichtag 09.05.2011 -
regionale Ebenen",09.05.2011 - 09.05.2011
12111-12-01-4,"Bevölkerung nach Geschlecht, Erwerbsstatus
und Altersgruppen - Stichtag 09.05.2011 -
regionale Tiefe: Kreise und krfr. Städte",09.05.2011 - 09.05.2011
12111-12-01-4-B,"Bevölkerung nach Geschlecht, Erwerbsstatus
und Altersgruppen - Stichtag 09.05.2011 -
regionale Ebenen",09.05.2011 - 09.05.2011
12111-21-02-4,"Bevölkerung nach  Erwerbsstatus
und Altersgruppen - Stichtag 09.05.2011 -
regionale Tiefe: Kreise und krfr. Städte",09.05.2011 - 09.05.2011
12111-21-02-4-B,"Bevölkerung nach  Erwerbsstatus
und Altersgruppen - Stichtag 09.05.2011 -
regionale Ebenen",09.05.2011 - 09.05.2011
12111-22-02-4,"Erwerbstätige nach Geschlecht/Nationalität
und Wirtschaftszweigen - Stichtag 09.05.2011 -
regionale Tiefe: Kreise und krfr. Städte",09.05.2011 - 09.05.2011
12111-22-02-4-B,"Erwerbstätige nach Geschlecht/Nationalität
und Wirtschaftszweigen - Stichtag 09.05.2011 -
regionale Ebenen",09.05.2011 - 09.05.2011
12111-23-02-4,"Erwerbstätige nach Geschlecht/Nationalität
und Stellung im Beruf - Stichtag 09.05.2011 -
regionale Tiefe: Kreise und krfr. Städte",09.05.2011 - 09.05.2011
12111-23-02-4-B,"Erwerbstätige nach Geschlecht/Nationalität
und Stellung im Beruf - Stichtag 09.05.2011 -
regionale Ebenen",09.05.2011 - 09.05.2011
12111-31-01-4,"Haushalte nach Haushaltsgrößen
- Stichtag 09.05.2011 -
regionale Tiefe: Kreise und krfr. Städte",09.05.2011 - 09.05.2011
12111-31-01-4-B,"Haushalte nach Haushaltsgrößen
- Stichtag 09.05.2011 -
regionale Ebenen",09.05.2011 - 09.05.2011
12111-32-01-4,"Haushalte nach Haushaltstypen
- Stichtag 09.05.2011 -
regionale Tiefe: Kreise und krfr. Städte",09.05.2011 - 09.05.2011
12111-32-01-4-B,"Haushalte nach Haushaltstypen
- Stichtag 09.05.2011 -
regionale Ebenen",09.05.2011 - 09.05.2011
12211-Z-01,"Bevölkerung am Hauptwohnort nach Geschlecht - Jahr -
regionale Tiefe: Kreise und kreisfreie Städte",2011 - 2019
12211-Z-02,"Bevölkerung am Hauptwohnort nach Altersgruppen (4) - Jahr -
regionale Tiefe: Kreise und kreisfreie Städte",2011 - 2019
12211-Z-03,"Bevölkerung am Hauptwohnort nach Altersgruppen (4) und
Geschlecht - Jahr - regionale Tiefe: Kreise und kreisfreie
Städte",2011 - 2019
12211-Z-04,"Bevölkerung am Hauptwohnort nach Migrationsstatus -
Jahr - regionale Tiefe: Kreise und kreisfreie Städte",2011 - 2019
12211-Z-05,"Bevölkerung am Hauptwohnort nach Migrationsstatus und
Geschlecht - Jahr - regionale Tiefe: Kreise und kreisfreie
Städte",2011 - 2019
12211-Z-06,"Bevölkerung am Hauptwohnort, 15 Jahre und älter nach
ILO-Erwerbsstatus (2) - Jahr - regionale Tiefe: Kreise und
kreisfreie Städte",2011 - 2019
12211-Z-07,"Bevölkerung am Hauptwohnort, 15 Jahre und älter nach
ILO-Erwerbsstatus (2) und Geschlecht - Jahr - regionale
Tiefe: Kreise und kreisfreie Städte",2011 - 2019
12211-Z-08,"Bevölkerung am Hauptwohnort, 15 Jahre und älter nach
Bildungsstand ISCED (3) - Jahr - regionale Tiefe: Kreise und
kreisfreie Städte",2011 - 2019
12211-Z-09,"Bevölkerung am Hauptwohnort, 15 Jahre und älter nach
Bildungsstand ISCED (3) und Geschlecht - Jahr - regionale
Tiefe: Kreise und kreisfreie Städte",2011 - 2019
