Code,Content,Time
1000A-0001,Personen: Amtliche Einwohnerzahl und Fläche (Gemeinden),09.05.2011 - 09.05.2011
1000A-1001,Personen: Alter (10er-Jahresgruppen),09.05.2011 - 09.05.2011
1000A-1002,Personen: Alter (11 Altersklassen),09.05.2011 - 09.05.2011
1000A-1003,Personen: Alter (5 Altersklassen),09.05.2011 - 09.05.2011
1000A-1004,Personen: Alter (5er-Jahresgruppen),09.05.2011 - 09.05.2011
1000A-1005,Personen: Alter (Infrastrukturelle Jahresgruppen),09.05.2011 - 09.05.2011
1000A-1006,Personen: Alter (Jahresschritte),09.05.2011 - 09.05.2011
1000A-1007,Personen: Alter (Marktforschungsrelevante Jahresgruppen),09.05.2011 - 09.05.2011
1000A-1008,Personen: Art des Haushalts,09.05.2011 - 09.05.2011
1000A-1009,Personen: Familienstand (ausführlich),09.05.2011 - 09.05.2011
1000A-1010,Personen: Familienstand,09.05.2011 - 09.05.2011
1000A-1011,Personen: Geburtsland (Gruppen),09.05.2011 - 09.05.2011
1000A-1012,Personen: Geburtsländer,09.05.2011 - 09.05.2011
1000A-1013,Personen: Geschlecht,09.05.2011 - 09.05.2011
1000A-1014,Personen: Religion,09.05.2011 - 09.05.2011
1000A-1015,Personen: Staatsangehörigkeit,09.05.2011 - 09.05.2011
1000A-1016,Personen: Staatsangehörigkeit (Ausgewählte Länder),09.05.2011 - 09.05.2011
1000A-1017,Personen: Staatsangehörigkeit (Gruppen),09.05.2011 - 09.05.2011
1000A-1018,Personen: Staatsangehörigkeit (Kontinente),09.05.2011 - 09.05.2011
1000A-1019,Personen: Staatsangehörigkeit (Länder),09.05.2011 - 09.05.2011
1000A-1020,Personen: Art der Wohnungsnutzung,09.05.2011 - 09.05.2011
1000A-1021,Personen: Art des Gebäudes,09.05.2011 - 09.05.2011
1000A-1022,Personen: Ausstattung der Wohnung,09.05.2011 - 09.05.2011
1000A-1023,Personen: Baujahr (Jahrzehnte),09.05.2011 - 09.05.2011
1000A-1024,Personen: Eigentumsform des Gebäudes,09.05.2011 - 09.05.2011
1000A-1025,Personen: Eigentumsverhältnisse der Wohnung,09.05.2011 - 09.05.2011
1000A-1026,Personen: Fläche der Wohnung (10 m²-Intervalle),09.05.2011 - 09.05.2011
1000A-1027,Personen: Fläche der Wohnung (20 m²-Intervalle),09.05.2011 - 09.05.2011
1000A-1028,Personen: Gebäudetyp (Bauweise),09.05.2011 - 09.05.2011
1000A-1029,Personen: Gebäudetyp (Größe),09.05.2011 - 09.05.2011
1000A-1030,Personen: Größe des privaten Haushalts,09.05.2011 - 09.05.2011
1000A-1031,Personen: Räume,09.05.2011 - 09.05.2011
1000A-1032,Personen: Seniorenstatus eines privaten Haushalts,09.05.2011 - 09.05.2011
1000A-1033,Personen: Typ des privaten Haushalts (nach Familien),09.05.2011 - 09.05.2011
1000A-1034,Personen: Typ des privaten Haushalts (nach Kindern),09.05.2011 - 09.05.2011
1000A-1035,Personen: Typ des privaten Haushalts (nach Lebensform),09.05.2011 - 09.05.2011
1000A-1036,Personen: Wohnungen im Gebäude,09.05.2011 - 09.05.2011
1000A-1037,Personen: Wohnungen im Gebäude (3 Klassen),09.05.2011 - 09.05.2011
1000A-1038,Personen: Größe der Kernfamilie,09.05.2011 - 09.05.2011
1000A-1039,Personen: Typ der Kernfamilie (nach Familien),09.05.2011 - 09.05.2011
1000A-1040,Personen: Typ der Kernfamilie (nach Lebensform),09.05.2011 - 09.05.2011
1000A-2001,Personen: Alter (10er-Jahresgruppen/11 Altersklassen) - Familienstand/Religion/Staatsangehörigkeit (Ausgewählte Länder/Gruppen),09.05.2011 - 09.05.2011
